company,enterprise_number
WEIR MINERALS SOUTH AFRICA,South Africa > K2019158445
ELIKIVA OPERATIONS,South Africa > K2016134707
BETHLEHEM HYDRO,South Africa > M2002003973
HI INVESTMENT,South Africa > K2019256678
HAGGAI CAPITAL,South Africa > K2021327687
GOMBIRO SYCAMORE TRADING,South Africa > B2009204234
GET DIVERSIFIED,South Africa > K2021332542
AGA FINANCIAL SERVICES,South Africa > K2021667691
SICOMMHQ,South Africa > K2014081154
GT IO MARKETS,South Africa > K2015059344
CADIZ ASSET MANAGEMENT,South Africa > K2013118580
RYAN MARKET ANALYSTS,South Africa > K2012057405
COFFEE LIFT MOVEMENT,South Africa > K2020178262
GREENHOUSE FUNDING 4 (RF),South Africa > K2014120089
IIMS INVESTMENTS AND CONSULTANTS,South Africa > B2004064937
TAQUANTA SECURITIES,South Africa > M1995011650
BENGUELA GLOBAL FUND MANAGERS,South Africa > K2013028139
WORKFORCE HOLDINGS,South Africa > M2006018145
PROMISEPAY,South Africa > K2016320050
CAPENSIS CAPITAL,South Africa > K2016382805
LODESTAR FUND MANAGERS,South Africa > K2014148909
SAMSUNG ELECTRONICS SOUTH AFRICA,South Africa > M1994003872
SAFDICO ROUGH,South Africa > M2007023770
SBFO SOUTH AFRICA,South Africa > K2018573295
MULTICHOICE GROUP TREASURY SERVICES,South Africa > K2018473867
TRIALPHA INVESTMENT MANAGEMENT,South Africa > M2006008726
MAKALANI MANAGEMENT COMPANY,South Africa > M2004023362
MCAPHUNA'S TRANSPORT AND INVESTMENTS,South Africa > B2010126072
LAURIUM CAPITAL INTERNATIONAL SA,South Africa > M2005007932
BOLD AGILE TRADERS,South Africa > K2018025549
CHINA CONSTRUCTION BANK CORPORATION (INCORPORATED IN CHINA),South Africa > M2000011198
LOT 8960 ALTON NORTH,South Africa > M1994006784
ALREIN WEALTHINVESMENTS,South Africa > K2020789628
CORONATION ASSET MANAGEMENT,South Africa > M1993002807
SHIV PARVATI,South Africa > K2014164828
TRADEBUDDY 13,South Africa > B2006209809
